state_code,state_name,status_code,status_display,duration_days,cost_avg,notes
MD,Maryland,pre_fc,Pre-Foreclosure,90,,
MD,Maryland,first_legal_filed,First Legal Filed (NOD/Complaint),30,,
MD,Maryland,mediation,Mediation,50,,
MD,Maryland,order_of_reference,Order of Reference (Judicial Only),0,,
MD,Maryland,judgement,Judgment (Judicial Only),0,,
MD,Maryland,pre_sale_redemption,Pre-Sale Redemption,30,,
MD,Maryland,sale_scheduled,Sale Scheduled,5,,
MD,Maryland,sale_completed,Sale Completed,45,,
MD,Maryland,post_sale_redemption,Post-Sale Redemption,0,,
ME,Maine,pre_fc,Pre-Foreclosure,90,,
ME,Maine,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
ME,Maine,mediation,Mediation,95,,
ME,Maine,order_of_reference,Order of Reference (Judicial Only),0,,
ME,Maine,judgement,Judgment (Judicial Only),57,,
ME,Maine,pre_sale_redemption,Pre-Sale Redemption,90,,
ME,Maine,sale_scheduled,Sale Scheduled,2,,
ME,Maine,sale_completed,Sale Completed,35,,
ME,Maine,post_sale_redemption,Post-Sale Redemption,0,,
MI,Michigan,pre_fc,Pre-Foreclosure,90,,
MI,Michigan,first_legal_filed,First Legal Filed (NOD/Complaint),20,,
MI,Michigan,mediation,Mediation,0,,
MI,Michigan,order_of_reference,Order of Reference (Judicial Only),0,,
MI,Michigan,judgement,Judgment (Judicial Only),0,,
MI,Michigan,pre_sale_redemption,Pre-Sale Redemption,0,,
MI,Michigan,sale_scheduled,Sale Scheduled,10,,
MI,Michigan,sale_completed,Sale Completed,30,,
MI,Michigan,post_sale_redemption,Post-Sale Redemption,90,,
MN,Minnesota,pre_fc,Pre-Foreclosure,90,,
MN,Minnesota,first_legal_filed,First Legal Filed (NOD/Complaint),30,,
MN,Minnesota,mediation,Mediation,0,,
MN,Minnesota,order_of_reference,Order of Reference (Judicial Only),0,,
MN,Minnesota,judgement,Judgment (Judicial Only),0,,
MN,Minnesota,pre_sale_redemption,Pre-Sale Redemption,0,,
MN,Minnesota,sale_scheduled,Sale Scheduled,10,,
MN,Minnesota,sale_completed,Sale Completed,30,,
MN,Minnesota,post_sale_redemption,Post-Sale Redemption,90,,
MO,Missouri,pre_fc,Pre-Foreclosure,90,,
MO,Missouri,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MO,Missouri,mediation,Mediation,0,,
MO,Missouri,order_of_reference,Order of Reference (Judicial Only),0,,
MO,Missouri,judgement,Judgment (Judicial Only),0,,
MO,Missouri,pre_sale_redemption,Pre-Sale Redemption,0,,
MO,Missouri,sale_scheduled,Sale Scheduled,5,,
MO,Missouri,sale_completed,Sale Completed,30,,
MO,Missouri,post_sale_redemption,Post-Sale Redemption,0,,
MS,Mississippi,pre_fc,Pre-Foreclosure,90,,
MS,Mississippi,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MS,Mississippi,mediation,Mediation,0,,
MS,Mississippi,order_of_reference,Order of Reference (Judicial Only),0,,
MS,Mississippi,judgement,Judgment (Judicial Only),0,,
MS,Mississippi,pre_sale_redemption,Pre-Sale Redemption,0,,
MS,Mississippi,sale_scheduled,Sale Scheduled,5,,
MS,Mississippi,sale_completed,Sale Completed,30,,
MS,Mississippi,post_sale_redemption,Post-Sale Redemption,0,,
MT,Montana,pre_fc,Pre-Foreclosure,90,,
MT,Montana,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
MT,Montana,mediation,Mediation,0,,
MT,Montana,order_of_reference,Order of Reference (Judicial Only),0,,
MT,Montana,judgement,Judgment (Judicial Only),0,,
MT,Montana,pre_sale_redemption,Pre-Sale Redemption,0,,
MT,Montana,sale_scheduled,Sale Scheduled,5,,
MT,Montana,sale_completed,Sale Completed,120,,
MT,Montana,post_sale_redemption,Post-Sale Redemption,0,,
NC,North Carolina,pre_fc,Pre-Foreclosure,90,,
NC,North Carolina,first_legal_filed,First Legal Filed (NOD/Complaint),45,,
NC,North Carolina,mediation,Mediation,0,,
NC,North Carolina,order_of_reference,Order of Reference (Judicial Only),0,,
NC,North Carolina,judgement,Judgment (Judicial Only),0,,
NC,North Carolina,pre_sale_redemption,Pre-Sale Redemption,0,,
NC,North Carolina,sale_scheduled,Sale Scheduled,15,,
NC,North Carolina,sale_completed,Sale Completed,30,,
NC,North Carolina,post_sale_redemption,Post-Sale Redemption,10,,
ND,North Dakota,pre_fc,Pre-Foreclosure,90,,
ND,North Dakota,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
ND,North Dakota,mediation,Mediation,0,,
ND,North Dakota,order_of_reference,Order of Reference (Judicial Only),0,,
ND,North Dakota,judgement,Judgment (Judicial Only),57,,
ND,North Dakota,pre_sale_redemption,Pre-Sale Redemption,0,,
ND,North Dakota,sale_scheduled,Sale Scheduled,10,,
ND,North Dakota,sale_completed,Sale Completed,45,,
ND,North Dakota,post_sale_redemption,Post-Sale Redemption,0,,
NE,Nebraska,pre_fc,Pre-Foreclosure,90,,
NE,Nebraska,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
NE,Nebraska,mediation,Mediation,0,,
NE,Nebraska,order_of_reference,Order of Reference (Judicial Only),0,,
NE,Nebraska,judgement,Judgment (Judicial Only),52,,
NE,Nebraska,pre_sale_redemption,Pre-Sale Redemption,20,,
NE,Nebraska,sale_scheduled,Sale Scheduled,5,,
NE,Nebraska,sale_completed,Sale Completed,35,,
NE,Nebraska,post_sale_redemption,Post-Sale Redemption,0,,
NH,New Hampshire,pre_fc,Pre-Foreclosure,90,,
NH,New Hampshire,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
NH,New Hampshire,mediation,Mediation,0,,
NH,New Hampshire,order_of_reference,Order of Reference (Judicial Only),0,,
NH,New Hampshire,judgement,Judgment (Judicial Only),0,,
NH,New Hampshire,pre_sale_redemption,Pre-Sale Redemption,0,,
NH,New Hampshire,sale_scheduled,Sale Scheduled,5,,
NH,New Hampshire,sale_completed,Sale Completed,30,,
NH,New Hampshire,post_sale_redemption,Post-Sale Redemption,0,,
NJ,New Jersey,pre_fc,Pre-Foreclosure,90,,
NJ,New Jersey,first_legal_filed,First Legal Filed (NOD/Complaint),95,,
NJ,New Jersey,mediation,Mediation,95,,
NJ,New Jersey,order_of_reference,Order of Reference (Judicial Only),0,,
NJ,New Jersey,judgement,Judgment (Judicial Only),82,,
NJ,New Jersey,pre_sale_redemption,Pre-Sale Redemption,0,,
NJ,New Jersey,sale_scheduled,Sale Scheduled,14,,
NJ,New Jersey,sale_completed,Sale Completed,45,,
NJ,New Jersey,post_sale_redemption,Post-Sale Redemption,0,,
NM,New Mexico,pre_fc,Pre-Foreclosure,90,,
NM,New Mexico,first_legal_filed,First Legal Filed (NOD/Complaint),75,,
NM,New Mexico,mediation,Mediation,0,,
NM,New Mexico,order_of_reference,Order of Reference (Judicial Only),0,,
NM,New Mexico,judgement,Judgment (Judicial Only),52,,
NM,New Mexico,pre_sale_redemption,Pre-Sale Redemption,0,,
NM,New Mexico,sale_scheduled,Sale Scheduled,5,,
NM,New Mexico,sale_completed,Sale Completed,45,,
NM,New Mexico,post_sale_redemption,Post-Sale Redemption,30,,
NV,Nevada,pre_fc,Pre-Foreclosure,90,,
NV,Nevada,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
NV,Nevada,mediation,Mediation,50,,
NV,Nevada,order_of_reference,Order of Reference (Judicial Only),0,,
NV,Nevada,judgement,Judgment (Judicial Only),0,,
NV,Nevada,pre_sale_redemption,Pre-Sale Redemption,90,,
NV,Nevada,sale_scheduled,Sale Scheduled,5,,
NV,Nevada,sale_completed,Sale Completed,30,,
NV,Nevada,post_sale_redemption,Post-Sale Redemption,0,,
NY,New York,pre_fc,Pre-Foreclosure,90,,
NY,New York,first_legal_filed,First Legal Filed (NOD/Complaint),80,,
NY,New York,mediation,Mediation,0,,
NY,New York,order_of_reference,Order of Reference (Judicial Only),147,,
NY,New York,judgement,Judgment (Judicial Only),195.75,,
NY,New York,pre_sale_redemption,Pre-Sale Redemption,0,,
NY,New York,sale_scheduled,Sale Scheduled,10,,
NY,New York,sale_completed,Sale Completed,40,,
NY,New York,post_sale_redemption,Post-Sale Redemption,0,,
OH,Ohio,pre_fc,Pre-Foreclosure,90,,
OH,Ohio,first_legal_filed,First Legal Filed (NOD/Complaint),65,,
OH,Ohio,mediation,Mediation,95,,
OH,Ohio,order_of_reference,Order of Reference (Judicial Only),0,,
OH,Ohio,judgement,Judgment (Judicial Only),112,,
OH,Ohio,pre_sale_redemption,Pre-Sale Redemption,0,,
OH,Ohio,sale_scheduled,Sale Scheduled,20,,
