assetidhub,servicing_transfer_duration,pre_fc_duration,fc_duration_state_avg,renovation_duration,reo_marketing_duration,dil_duration,reconciled_rehab_cost,total_property_tax,total_insurance,total_hoa,total_utility,broker_fees,am_liq_fees,trashout_cost,fc_expenses,dil_fees,acq_costs,servicing_fc,servicing_liq_fee,expected_gross_proceeds,purchase_price,bid_pct_upb,bid_pct_td,bid_pct_sellerasis,expected_exit_date,expected_net_proceeds,expected_pl,expected_moic,expected_irr,outcome_dil_asis,outcome_dil_arv,outcome_reo_arv,outcome_reo_asis,purchase_date,expected_pv
6234,1,2,5,,4,3,,376.25,7437.5,0,720,28040," 5,258 ",2632.5,4000,3750,400,998.5,," 350,500 ",200095.5,0.727062541,0.304919932,1.053134211,11/2026," 293,646.96 ",93551.45833,1.47x,0.341384858,0.5,0,0,0.5,10/9/2025,245265.2632
6235,1,2,5,,4,3,,241.875,4781.25,3750,720,18000," 3,375 ",1687.5,4000,3750,400,998.5,," 225,000 ",136382.6,0.956695267,0.441813737,0.681912774,11/2026," 181,338.31 ",44955.75768,1.73x,0.236869532,0.5,0,0,0.5,10/9/2025,150728.783
6236,1,2,6,,4,3,,4620,2200,1152,1000,26880," 5,040 ",2535,1500,3750,400,1088.5,," 336,000 ",231055.6,1.413952256,0.506727537,0.733509683,07/2026," 282,738.63 ",51683.075,1.20x,0.237743145,0.5,0,0,0.5,10/9/2025,248032.5656
6237,1,2,6,,4,3,,3290,1566.666667,0,1000,19120," 3,585 ",1800,1500,3750,400,1088.5,," 239,000 ",169414.2,0.878500491,0.462799349,0.752951956,10/2026," 199,669.10 ",30254.91417,1.31x,0.14465788,0.5,0,0,0.5,10/9/2025,168777.053
6238,1,2,6,4,4,3,150000,7437.5,3541.666667,28940,2000,56560," 10,605 ",,1500,3750,400,1304.5,," 707,000 ",309618.4,0.982036989,0.398987641,0.800047594,04/2027," 434,889.31 ",125270.8935,1.24x,0.198642904,0,0.5,0.5,0,10/9/2025,335561.4144
6239,1,2,6,,4,3,,3710,1766.666667,0,1000,21560," 4,043 ",2032.5,1500,3750,400,1088.5,," 269,500 ",134393.5,1.026825553,0.376192658,0.450984884,12/2026," 226,137.23 ",91743.73367,1.30x,0.452329081,0.5,0,0,0.5,10/9/2025,186707.5367
6240,1,2,6,,4,3,,3150,1500,0,1000,18320," 3,435 ",1725,1500,3750,400,1088.5,," 229,000 ",141761.6,0.904002784,0.380354606,0.691519796,12/2026," 190,994.31 ",49232.75439,1.30x,0.238021451,0.5,0,0,0.5,10/9/2025,157546.51
6241,1,2,6,,4,3,,6300,3000,0,1000,36680," 6,878 ",3457.5,1500,3750,400,1088.5,," 458,500 ",348442.9,1.380611138,0.527613179,0.725922748,07/2026," 390,170.88 ",41727.956,1.24x,0.128060192,0.5,0,0,0.5,10/9/2025,342599.2635
6242,1,2,6,,4,3,,6790,3233.333333,0,1000,39520," 7,410 ",3727.5,1500,3750,400,1088.5,," 494,000 ",368434.6,1.40994021,0.557735619,0.705813314,07/2026," 420,976.40 ",52541.84583,1.24x,0.152740341,0.5,0,0,0.5,10/9/2025,369698.0988
6243,1,2,6,,4,3,,4970,2366.666667,0,1000,28920," 5,423 ",2730,1500,3750,400,1088.5,," 361,500 ",278927.2,2.045820105,0.817612209,1.328224543,07/2026," 305,985.35 ",27058.20017,1.20x,0.103270119,0.5,0,0,0.5,10/9/2025,268542.709
6244,1,2,6,,4,3,,3500,1666.666667,0,1000,20360," 3,818 ",1920,1500,3750,400,1088.5,," 254,500 ",187313.3,1.180618555,0.489008773,0.74925312,07/2026," 213,125.04 ",25811.76167,1.22x,0.145592839,0.5,0,0,0.5,10/9/2025,186855.3129
6245,1,2,4,,4,3,,3657.5,962.5,0,600,22400," 4,200 ",2107.5,1875,3750,400,863.5,," 280,000 ",183095.7,1.017011655,0.448913752,0.621318545,10/2026," 236,721.50 ",53625.75934,1.28x,0.236469489,0.5,0,0,0.5,10/9/2025,200306.9892
6246,1,2,4,,4,3,,2012.5,2333.333333,0,800,20240," 3,795 ",1905,1500,3750,400,908.5,," 253,000 ",137722.4,1.277880392,0.598691759,0.692072601,10/2026," 212,988.38 ",75265.9275,1.28x,0.431103903,0.5,0,0,0.5,10/9/2025,180160.2785
6247,1,2,5,4,4,3,50000,5711.875,4631.25,0,1440,33280," 6,240 ",,1250,3750,400,1169.5,," 416,000 ",231812.1,1.090393501,0.529582839,0.735911524,03/2027," 304,511.75 ",72699.62,1.29x,0.175158459,0,0.5,0.5,0,10/9/2025,241001.9812
6248,1,2,5,,4,3,,516.25,1000,0,600,16000," 3,000 ",1500,1800,3750,400,998.5,," 200,000 ",127633.5,1.524196861,0.555608339,0.79770929,11/2026," 168,485.79 ",40852.3053,1.29x,0.237358683,0.5,0,0,0.5,10/9/2025,140723.4262
6249,1,2,6,,4,3,,10406.66667,1866.666667,0,1000,28800," 5,400 ",2722.5,1400,3750,400,1088.5,," 360,000 ",260821.0,1.30728484,0.691420203,0.726520891,12/2026," 299,971.71 ",39150.70833,1.33x,0.106061381,0.5,0,0,0.5,10/9/2025,247613.9723
6250,1,2,6,,4,3,,5500.666667,986.6666667,0,1000,15160," 2,843 ",1432.5,1400,3750,400,1088.5,," 189,500 ",91586.0,0.776422974,0.41333733,0.508811111,12/2026," 154,258.15 ",62672.14583,1.31x,0.441409749,0.5,0,0,0.5,10/9/2025,126877.8964
6251,1,2,6,4,4,3,10000,14866.66667,2666.666667,4740,2000,41000," 7,688 ",,1400,3750,400,1304.5,," 512,500 ",301637.5,0.869261274,0.575280156,0.773429476,04/2027," 418,116.50 ",116479.0045,1.37x,0.205973202,0,0.5,0.5,0,10/9/2025,328488.6561
6252,1,2,6,,4,3,,6690,1200,0,1000,18480," 3,465 ",1747.5,1400,3750,400,1088.5,," 231,000 ",161405.4,0.803225057,0.550290367,0.768597107,12/2026," 189,730.56 ",28325.17,1.32x,0.122101623,0.5,0,0,0.5,10/9/2025,156270.2448
6253,1,2,6,4,4,3,75000,7433.333333,1333.333333,0,2000,28960," 5,430 ",,1400,3750,400,1304.5,," 362,000 ",149326.0,1.001474221,0.418122232,0.829588864,04/2027," 231,588.00 ",82262.0045,1.25x,0.267748362,0,0.5,0.5,0,10/9/2025,179441.8133
6254,1,2,6,4,4,3,45000,12079.16667,2166.666667,0,2000,36040," 6,758 ",,1400,3750,400,1304.5,," 450,500 ",241095.2,1.745784924,0.749079935,0.753422398,04/2027," 335,453.31 ",94358.145,1.30x,0.204568774,0,0.5,0.5,0,10/9/2025,262418.6435
6255,1,2,6,,4,3,,9663.333333,1733.333333,0,1000,26720," 5,010 ",2527.5,1400,3750,400,1088.5,," 334,000 ",229076.5,1.268098671,0.535147099,0.803777179,12/2026," 277,745.98 ",48669.48317,1.29x,0.148587638,0.5,0,0,0.5,10/9/2025,229197.6309
6256,1,2,6,4,4,3,150000,14680.83333,2633.333333,0,2000,53880," 10,103 ",,1400,3750,400,1304.5,," 673,500 ",313761.7,1.140150344,0.508607086,1.0458723,04/2027," 427,046.69 ",113284.9975,1.27x,0.183352906,0,0.5,0.5,0,10/9/2025,331418.96
6257,1,2,6,4,4,3,90000,8362.5,1500,0,2000,31040," 5,820 ",,1400,3750,400,1304.5,," 388,000 ",141484.4,0.82011808,0.470537777,0.725561241,04/2027," 238,789.56 ",97305.1205,1.24x,0.322432309,0,0.5,0.5,0,10/9/2025,184566.4635
6258,1,2,6,4,4,3,90000,10964.16667,1966.666667,0,2000,39360," 7,380 ",,1400,3750,400,1304.5,," 492,000 ",224662.4,1.289282259,0.575322624,1.095914385,04/2027," 328,877.94 ",104215.4885,1.28x,0.233307725,0,0.5,0.5,0,10/9/2025,255833.2334
6259,1,2,6,4,4,3,65000,11521.66667,2066.666667,0,2000,33960," 6,368 ",,1400,3750,400,1304.5,," 424,500 ",226100.9,1.589070408,0.876908734,0.731718273,04/2027," 292,824.38 ",66723.4285,1.28x,0.153865224,0,0.5,0.5,0,10/9/2025,227963.8637
6260,1,2,6,4,4,3,50000,10035,1800,0,2000,33160," 6,218 ",,1400,3750,400,1304.5,," 414,500 ",205023.6,1.863227417,0.87518754,0.683412128,04/2027," 300,583.88 ",95560.23648,1.31x,0.238648325,0,0.5,0.5,0,10/9/2025,234781.3106
6261,1,2,6,4,4,3,50000,13937.5,2500,0,2000,37280," 6,990 ",,1400,3750,400,1304.5,," 466,000 ",249073.1,0.852410445,0.526730459,0.640290757,04/2027," 342,188.94 ",93115.833,1.31x,0.195115501,0,0.5,0.5,0,10/9/2025,267402.6958
6262,1,2,6,,4,3,,12636.66667,2266.666667,0,1000,34920," 6,548 ",3300,1400,3750,400,1088.5,," 436,500 ",281228.8,1.428160704,0.42786487,0.722953085,12/2026," 365,317.65 ",84088.89583,1.32x,0.207909173,0.5,0,0,0.5,10/9/2025,301756.0272
6263,1,2,6,,4,3,,10704,1920,0,1000,29600," 5,550 ",2797.5,1400,3750,400,1088.5,," 370,000 ",229300.4,0.935087266,0.524602008,0.664638888,12/2026," 308,507.00 ",79206.5838,1.28x,0.23797459,0.5,0,0,0.5,10/9/2025,254685.3171
6264,1,2,6,,4,3,,12636.66667,2266.666667,0,1000,34920," 6,548 ",3300,1400,3750,400,1088.5,," 436,500 ",284626.4,1.009185758,0.434572738,0.948754638,12/2026," 365,317.65 ",80691.25433,1.28x,0.197516435,0.5,0,0,0.5,10/9/2025,301756.0272
6265,1,2,6,,4,3,,18137.33333,3253.333333,0,1000,50160," 9,405 ",4740,1400,3750,400,1088.5,," 627,000 ",409636.3,1.234514757,0.520923439,0.74479328,12/2026," 528,101.79 ",118465.4877,1.28x,0.202477449,0.5,0,0,0.5,10/9/2025,436634.7925
6266,1,2,12,4,4,3,100000,8796.666667,2513.333333,0,1440,37520," 7,035 ",,3500,5000,400,1844.5,," 469,000 ",176724.0,0.496996013,0.184492123,0.654533385,10/2027," 296,478.00 ",119753.986,1.29x,0.23979854,0,0.5,0.5,0,10/9/2025,212979.4984
6267,1,2,12,4,4,3,35000,9100,2600,0,1440,32080," 6,015 ",,3500,5000,400,1844.5,," 401,000 ",181083.7,0.847589499,0.361827245,0.482889797,10/2027," 300,235.50 ",119151.8261,1.36x,0.241624755,0,0.5,0.5,0,10/9/2025,217719.0396
6268,1,2,12,4,4,3,10000,7431.666667,2123.333333,0,1440,25000," 4,688 ",,3500,5000,400,1844.5,," 312,500 ",164377.0,0.497498117,0.194417657,0.699476426,10/2027," 248,131.75 ",83754.79,1.43x,0.193918926,0,0.5,0.5,0,10/9/2025,180120.0449
