Servicer ID,Entity
625214,"AFL Mortgage, LLC"
2000026371,"AFL Mortgage, LLC"
625179,"AFL Mortgage, LLC"
625191,"AFL Mortgage, LLC"
625308,"AFL Mortgage, LLC"
625319,"AFL Mortgage, LLC"
625489,"AFL Mortgage, LLC"
625504,"AFL Mortgage, LLC"
625377,"AFL Mortgage, LLC"
625405,"AFL Mortgage, LLC"
625515,"AFL Mortgage, LLC"
625719,"AFL Mortgage, LLC"
625540,"AFL Mortgage, LLC"
625559,"AFL Mortgage, LLC"
625573,"AFL Mortgage, LLC"
625595,"AFL Mortgage, LLC"
625634,"AFL Mortgage, LLC"
625744,"AFL Mortgage, LLC"
625939,"AFL Mortgage, LLC"
625832,"AFL Mortgage, LLC"
625799,"AFL Mortgage, LLC"
625872,"AFL Mortgage, LLC"
625887,"AFL Mortgage, LLC"
625924,"AFL Mortgage, LLC"
625946,"AFL Mortgage, LLC"
626156,"AFL Mortgage, LLC"
626091,"AFL Mortgage, LLC"
625955,"AFL Mortgage, LLC"
625979,"AFL Mortgage, LLC"
625984,"AFL Mortgage, LLC"
625991,"AFL Mortgage, LLC"
626125,"AFL Mortgage, LLC"
626192,"AFL Mortgage, LLC"
626295,"AFL Mortgage, LLC"
626338,"AFL Mortgage, LLC"
626215,"AFL Mortgage, LLC"
626228,"AFL Mortgage, LLC"
626240,"AFL Mortgage, LLC"
626260,"AFL Mortgage, LLC"
626273,"AFL Mortgage, LLC"
626310,"AFL Mortgage, LLC"
626354,"AFL Mortgage, LLC"
626390,"AFL Mortgage, LLC"
625166,"AFL Mortgage, LLC"
625287,"AFL Mortgage, LLC"
626417,"AFL Mortgage, LLC"
626442,"AFL Mortgage, LLC"
626451,"AFL Mortgage, LLC"
626589,"AFL Mortgage, LLC"
626620,"AFL Mortgage, LLC"
627654,"AFL Mortgage, LLC"
625496,"AFL Mortgage, LLC"
627348,"AFL Mortgage, LLC"
2000026397,"AFL Mortgage, LLC"
2000026408,"AFL Mortgage, LLC"
2000026409,"AFL Mortgage, LLC"
2000026424,"AFL Mortgage, LLC"
2000026435,"AFL Mortgage, LLC"
2000026440,"AFL Mortgage, LLC"
650601,"AFL Mortgage 2, LLC"
644482,"AFL Mortgage, LLC"
644507,"AFL Mortgage, LLC"
627836,"AFL Mortgage, LLC"
644521,"AFL Mortgage, LLC"
644477,"AFL Mortgage, LLC"
644536,"AFL Mortgage, LLC"
644842,"AFL Mortgage, LLC"
644927,"AFL Mortgage, LLC"
2000028494,"AFL Mortgage, LLC"
2000021537,"AFL Mortgage, LLC"
650612,"AFL Mortgage 2, LLC"
650630,"AFL Mortgage 2, LLC"
650647,"AFL Mortgage 2, LLC"
2000028492,"AFL Mortgage, LLC"
2000028495,"AFL Mortgage, LLC"
2000029568,"AFL Mortgage, LLC"
2000039283,"AFL Mortgage 2, LLC"
626345,"AFL Mortgage, LLC"
626112,"AFL Mortgage, LLC"
20003,"AFL Mortgage, LLC"
626101,"AFL Mortgage, LLC"
626574,"AFL Mortgage, LLC"
626596,"AFL Mortgage, LLC"
626606,"AFL Mortgage, LLC"
626550,"AFL Mortgage, LLC"
626783,"AFL Mortgage, LLC"
627069,"AFL Mortgage, LLC"
645418,"AFL Mortgage, LLC"
626912,"AFL Mortgage, LLC"
626956,"AFL Mortgage, LLC"
626970,"AFL Mortgage, LLC"
627003,"AFL Mortgage, LLC"
625650,"AFL Mortgage, LLC"
625232,"AFL Mortgage, LLC"
646206,"AFL Mortgage, LLC"
625674,"AFL Mortgage, LLC"
645676,"AFL Mortgage, LLC"
626723,"AFL Mortgage, LLC"
644664,"AFL Mortgage, LLC"
644730,"AFL Mortgage, LLC"
645229,"AFL Mortgage, LLC"
626167,"AFL Mortgage, LLC"
626323,"AFL Mortgage, LLC"
625203,"AFL Mortgage, LLC"
625344,"AFL Mortgage, LLC"
645131,"AFL Mortgage, LLC"
645698,"AFL Mortgage, LLC"
646408,"AFL Mortgage, LLC"
673473,"AFL Mortgage, LLC"
626024,"AFL Mortgage, LLC"
626288,"AFL Mortgage, LLC"
625364,"AFL Mortgage, LLC"
625528,"AFL Mortgage, LLC"
625560,"AFL Mortgage, LLC"
625588,"AFL Mortgage, LLC"
625696,"AFL Mortgage, LLC"
2000026426,"AFL Mortgage, LLC"
626011,"AFL Mortgage, LLC"
644972,"AFL Mortgage, LLC"
2000026273,"AFL Mortgage, LLC"
2000026356,"AFL Mortgage, LLC"
2000026392,"AFL Mortgage, LLC"
2000026324,"AFL Mortgage, LLC"
2000026383,"AFL Mortgage, LLC"
